Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
MINI,COOPER S 3 DOOR,SUBCOMPACT,2,4,A,Z,9.2,7,8.2,34,189
MINI,COOPER S 3 DOOR,SUBCOMPACT,2,4,M,Z,10,7,8.6,33,198
MINI,COOPER S 5 DOOR,SUBCOMPACT,2,4,A,Z,9.2,7,8.2,34,189
MINI,COOPER S 5 DOOR,SUBCOMPACT,2,4,M,Z,10,7,8.6,33,198
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,A,Z,9.2,6.8,8.1,35,186
MINI,COOPER S CONVERTIBLE,MINICOMPACT,1.6,4,M,Z,9.1,6.8,8.1,35,186
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,A,Z,10.1,7.8,9,31,207
MINI,COOPER S COUNTRYMAN ALL4,COMPACT,1.6,4,M,Z,9.5,7.7,8.7,32,200
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,A,Z,9.2,6.8,8.1,35,186
MINI,COOPER S COUPE,TWO-SEATER,1.6,4,M,Z,9.1,6.8,8.1,35,186
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,A,Z,10.1,7.8,9,31,207
MINI,COOPER S PACEMAN ALL4,COMPACT,1.6,4,M,Z,9.5,7.7,8.7,32,200
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,A,Z,9.2,6.8,8.1,35,186
MINI,COOPER S ROADSTER,TWO-SEATER,1.6,4,M,Z,9.1,6.8,8.1,35,186
MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,A,Z,9.3,7.3,8.4,34,193
MINI,JOHN COOPER WORKS,SUBCOMPACT,2,4,M,Z,10.4,7.7,9.2,31,212
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,A,Z,9.2,6.8,8.1,35,186
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,M,Z,9.1,6.8,8.1,35,186
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,A,Z,10.1,7.8,9,31,207
MINI,JOHN COOPER WORKS COUNTRYMAN ALL4,COMPACT,1.6,4,M,Z,9.5,7.7,8.7,32,200
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,A,Z,9.2,6.8,8.1,35,186
MINI,JOHN COOPER WORKS COUPE,TWO-SEATER,1.6,4,M,Z,9.1,6.8,8.1,35,186
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,A,Z,10.1,7.8,9,31,207
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,M,Z,9.5,7.7,8.7,32,200
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,A,Z,9.2,6.8,8.1,35,186
MINI,JOHN COOPER WORKS ROADSTER,TWO-SEATER,1.6,4,M,Z,9.1,6.8,8.1,35,186
MITSUBISHI,LANCER,COMPACT,2,4,A,X,9.2,6.9,8.2,34,189
MITSUBISHI,LANCER,COMPACT,2,4,M,X,9.6,6.9,8.4,34,193
MITSUBISHI,LANCER AWD,COMPACT,2.4,4,A,X,10.5,8.2,9.5,30,219
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,A,Z,14.2,10.5,12.5,23,288
MITSUBISHI,LANCER EVOLUTION,COMPACT,2,4,M,Z,14,10.3,12.3,23,283
MITSUBISHI,LANCER RALLIART,COMPACT,2,4,A,Z,13.4,9.4,11.6,24,267
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,A,X,9.6,7.3,8.6,33,198
MITSUBISHI,LANCER SPORTBACK,STATION WAGON - SMALL,2,4,M,X,9.8,7.1,8.6,33,198
MITSUBISHI,MIRAGE,COMPACT,1.2,3,A,X,6.4,5.3,5.9,48,136
MITSUBISHI,MIRAGE,COMPACT,1.2,3,M,X,7,5.5,6.4,44,147
MITSUBISHI,OUTLANDER,SUV - SMALL,2.4,4,A,X,9.5,7.5,8.6,33,198
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,2.4,4,A,X,9.9,8.1,9.1,31,209
MITSUBISHI,OUTLANDER 4WD,SUV - SMALL,3,6,A,Z,11.5,8.4,10.1,28,232
MITSUBISHI,RVR,SUV - SMALL,2,4,A,X,9.3,7.3,8.4,34,193
MITSUBISHI,RVR,SUV - SMALL,2,4,M,X,9.9,7.6,8.8,32,202
MITSUBISHI,RVR 4WD,SUV - SMALL,2,4,A,X,9.6,7.7,8.8,32,202
MITSUBISHI,RVR 4WD,SUV - SMALL,2.4,4,A,X,10.4,8.5,9.6,29,221
NISSAN,370Z COUPE,TWO-SEATER,3.7,6,A,Z,12.6,9.2,11.1,25,255
NISSAN,370Z COUPE,TWO-SEATER,3.7,6,M,Z,13.3,9.3,11.5,25,264
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,A,Z,13,9.6,11.5,25,264
NISSAN,370Z ROADSTER,TWO-SEATER,3.7,6,M,Z,13.6,9.7,11.8,24,271
NISSAN,ALTIMA,MID-SIZE,2.5,4,A,X,8.7,6.2,7.6,37,175
NISSAN,ALTIMA,MID-SIZE,3.5,6,A,X,10.3,7.4,9,31,207
NISSAN,ARMADA 4WD,SUV - STANDARD,5.6,8,A,X,19.2,13.4,16.6,17,382
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,A,X,13.7,10.6,12.3,23,283
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,2.5,4,M,X,12.2,10.2,11.3,25,260
NISSAN,FRONTIER,PICKUP TRUCK - SMALL,4,6,A,X,14.8,10.3,12.7,22,292
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,A,X,15.7,11.3,13.7,21,315
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4,6,M,X,15,11.2,13.3,21,306
NISSAN,GT-R,SUBCOMPACT,3.8,6,A,Z,14.3,10.5,12.6,22,290
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,A,X,8.5,7.2,7.9,36,182
NISSAN,JUKE,STATION WAGON - SMALL,1.6,4,M,X,8.4,6.9,7.7,37,177
NISSAN,JUKE AWD,STATION WAGON - SMALL,1.6,4,A,X,8.8,7.5,8.2,34,189
NISSAN,JUKE NISMO RS,STATION WAGON - SMALL,1.6,4,M,Z,8.9,7.5,8.3,34,191
NISSAN,JUKE NISMO RS AWD,STATION WAGON - SMALL,1.6,4,A,Z,9.4,8.1,8.8,32,202
NISSAN,MICRA,COMPACT,1.6,4,A,X,8.8,6.6,7.8,36,179
NISSAN,MICRA,COMPACT,1.6,4,M,X,8.6,6.6,7.7,37,177
NISSAN,MURANO,STATION WAGON - MID-SIZE,3.5,6,A,X,11,8.2,9.8,29,225
NISSAN,MURANO AWD,STATION WAGON - MID-SIZE,3.5,6,A,X,11.2,8.3,9.9,29,228
NISSAN,NV200 CARGO VAN,SPECIAL PURPOSE VEHICLE,2,4,A,X,9.7,9,9.4,30,216
NISSAN,PATHFINDER,SUV - SMALL,3.5,6,A,X,11.9,8.6,10.4,27,239
NISSAN,PATHFINDER 4WD,SUV - SMALL,3.5,6,A,X,12.1,8.9,10.7,26,246
NISSAN,PATHFINDER 4WD PLATINUM,SUV - SMALL,3.5,6,A,X,12.7,9,11,26,253
NISSAN,PATHFINDER HYBRID 4WD,SUV - STANDARD,2.5,4,A,X,9.1,8.5,8.8,32,202
NISSAN,QUEST,MINIVAN,3.5,6,A,X,12,8.7,10.5,27,242
NISSAN,ROGUE,SUV - SMALL,2.5,4,A,X,9.2,7.2,8.3,34,191
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,A,X,9.5,7.4,8.5,33,196
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A,X,18.4,13.3,16.1,18,370
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A,X,19.7,14.3,17.2,16,396
NISSAN,SENTRA,MID-SIZE,1.8,4,A,X,8,6.1,7.2,39,166
NISSAN,SENTRA,MID-SIZE,1.8,4,M,X,8.9,6.6,7.9,36,182
NISSAN,VERSA,COMPACT,1.6,4,A,X,7.5,6,6.8,42,156
NISSAN,VERSA,COMPACT,1.6,4,M,X,8.6,6.5,7.7,37,177
NISSAN,XTERRA 4WD,SUV - SMALL,4,6,A,X,16,12,14.2,20,327
NISSAN,XTERRA 4WD,SUV - SMALL,4,6,M,X,16,12.3,14.4,20,331
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,A,Z,11.6,8.4,10.1,28,232
PORSCHE,911 CARRERA,MINICOMPACT,3.4,6,M,Z,12.3,8.6,10.6,27,244
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,A,Z,11.5,8.3,10.1,28,232
PORSCHE,911 CARRERA CABRIOLET,MINICOMPACT,3.4,6,M,Z,12.3,8.7,10.7,26,246
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,A,Z,11.6,8.5,10.2,28,235
PORSCHE,911 CARRERA 4,MINICOMPACT,3.4,6,M,Z,12.3,8.7,10.7,26,246
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,A,Z,11.9,8.7,10.5,27,242
PORSCHE,911 CARRERA 4 CABRIOLET,MINICOMPACT,3.4,6,M,Z,12.5,9,10.9,26,251
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6,A,Z,12.6,9.2,11.1,25,255
PORSCHE,911 CARRERA 4 GTS,MINICOMPACT,3.8,6,M,Z,13,9.2,11.3,25,260
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,A,Z,13.1,9.4,11.4,25,262
PORSCHE,911 CARRERA 4 GTS CABRIOLET,MINICOMPACT,3.8,6,M,Z,13.4,9.3,11.6,24,267
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,A,Z,12.2,8.9,10.7,26,246
PORSCHE,911 CARRERA 4S,MINICOMPACT,3.8,6,M,Z,12.6,8.9,11,26,253
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,A,Z,12.5,9,11,26,253
PORSCHE,911 CARRERA 4S CABRIOLET,MINICOMPACT,3.8,6,M,Z,12.9,9.2,11.2,25,258
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,A,Z,12.6,9,11,26,253
PORSCHE,911 CARRERA GTS,MINICOMPACT,3.8,6,M,Z,12.9,9,11.2,25,258
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6,A,Z,12.6,9.2,11.1,25,255
PORSCHE,911 CARRERA GTS CABRIOLET,MINICOMPACT,3.8,6,M,Z,13.4,9.3,11.6,24,267
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,A,Z,11.9,8.7,10.5,27,242
PORSCHE,911 CARRERA S,MINICOMPACT,3.8,6,M,Z,12.4,8.7,10.7,26,246
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,A,Z,12.2,8.7,10.6,27,244
PORSCHE,911 CARRERA S CABRIOLET,MINICOMPACT,3.8,6,M,Z,12.5,8.9,10.9,26,251
PORSCHE,911 GT3,TWO-SEATER,3.8,6,A,Z,16,11.5,14,20,322
PORSCHE,911 TARGA 4,MINICOMPACT,3.4,6,A,Z,12.3,8.9,10.8,26,248
PORSCHE,911 TARGA 4,MINICOMPACT,3.4,6,M,Z,12.9,9,11.1,25,255
PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6,A,Z,12.8,9.3,11.2,25,258
PORSCHE,911 TARGA 4S,MINICOMPACT,3.8,6,M,Z,13.1,9.2,11.4,25,262
PORSCHE,911 TURBO,MINICOMPACT,3.8,6,A,Z,13.7,9.6,11.9,24,274
PORSCHE,911 TURBO CABRIOLET,MINICOMPACT,3.8,6,A,Z,13.7,9.6,11.9,24,274
PORSCHE,911 TURBO S,MINICOMPACT,3.8,6,A,Z,13.7,9.6,11.9,24,274
PORSCHE,911 TURBO S CABRIOLET,MINICOMPACT,3.8,6,A,Z,13.7,9.6,11.9,24,274
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,A,Z,10.7,7.4,9.2,31,212
PORSCHE,BOXSTER,TWO-SEATER,2.7,6,M,Z,11.5,7.9,9.9,29,228
PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6,A,Z,10.9,7.7,9.5,30,218
PORSCHE,BOXSTER GTS,TWO-SEATER,3.4,6,M,Z,12.1,8.9,10.7,26,246
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6,A,Z,11.3,7.9,9.8,29,225
PORSCHE,BOXSTER S,TWO-SEATER,3.4,6,M,Z,11.9,8.6,10.4,27,239
PORSCHE,CAYENNE DIESEL (Modified),SUV - STANDARD,3,6,A,D,11.8,8.1,10.2,28,277
PORSCHE,CAYENNE S,SUV - STANDARD,3.6,6,A,Z,14.3,9.6,12.2,23,286
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A,Z,16.7,11.2,14.2,20,327
PORSCHE,CAYMAN,TWO-SEATER,2.7,6,A,Z,10.7,7.4,9.2,31,212
PORSCHE,CAYMAN,TWO-SEATER,2.7,6,M,Z,11.5,7.9,9.9,29,228
PORSCHE,CAYMAN GTS,TWO-SEATER,3.4,6,A,Z,10.9,7.7,9.5,30,218
PORSCHE,CAYMAN GTS,TWO-SEATER,3.4,6,M,Z,12.1,8.9,10.7,26,246
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,A,Z,11.3,7.9,9.8,29,225
PORSCHE,CAYMAN S,TWO-SEATER,3.4,6,M,Z,11.9,8.6,10.4,27,239
PORSCHE,MACAN S,SUV - SMALL,3,6,A,Z,13.7,10.3,12.2,23,281
PORSCHE,MACAN TURBO,SUV - SMALL,3.6,6,A,Z,14.2,10.1,12.3,23,283
PORSCHE,PANAERA,FULL-SIZE,3.6,6,A,Z,12.9,8.4,10.9,26,251
PORSCHE,PANAERA 4,FULL-SIZE,3.6,6,A,Z,13.1,8.7,11.1,25,255
PORSCHE,PANAERA 4S,FULL-SIZE,3,6,A,Z,13.4,8.8,11.4,25,262
PORSCHE,PANAERA 4S EXECUTIVE,FULL-SIZE,3,6,A,Z,13.7,8.9,11.5,25,264
PORSCHE,PANAERA GTS,FULL-SIZE,4.8,8,A,Z,15.1,9.7,12.7,22,292
PORSCHE,PANAERA S,FULL-SIZE,3,6,A,Z,13.4,8.8,11.4,25,262
PORSCHE,PANAERA TURBO,FULL-SIZE,4.8,8,A,Z,15.3,9.7,12.8,22,294
PORSCHE,PANAERA TURBO EXECUTIVE,FULL-SIZE,4.8,8,A,Z,15.4,9.8,12.9,22,297
PORSCHE,PANAERA TURBO S,FULL-SIZE,4.8,8,A,Z,15.3,9.7,12.8,22,294
PORSCHE,PANAERA TURBO S EXECUTIVE,FULL-SIZE,4.8,8,A,Z,15.4,9.8,12.9,22,297
RA,1500,PICKUP TRUCK - STANDARD,3.6,6,A,X,13.9,9.5,11.9,24,274
RA,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A,X,13.9,9.5,11.9,24,274
RA,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A,E,19.4,13.6,16.8,17,269
RA,1500 HFE,PICKUP TRUCK - STANDARD,3.6,6,A,X,12.9,9.3,11.3,25,260
RA,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A,X,17.1,12,14.8,19,340
RA,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A,X,15.7,10.9,13.6,21,313
RA,1500 ECODIESEL,PICKUP TRUCK - STANDARD,3,6,A,D,11.5,8.4,10.1,28,273
RA,1500 ECODIESEL HFE,PICKUP TRUCK - STANDARD,3,6,A,D,11.3,8,9.8,29,265
RA,1500 4X4,PICKUP TRUCK - STANDARD,3.6,6,A,X,14.6,10.1,12.6,22,290
RA,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A,X,14.6,10.1,12.6,22,290
RA,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A,E,20.5,14.5,17.8,16,285
RA,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A,X,17.7,12.7,15.4,18,354
RA,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A,X,16.2,11.5,14.1,20,324
RA,1500 4X4 ECODIESEL,PICKUP TRUCK - STANDARD,3,6,A,D,12.1,8.8,10.6,27,286
RA,CARGO VAN FFV,MINIVAN,3.6,6,A,X,13.3,9.1,11.4,25,262
RA,CARGO VAN FFV,MINIVAN,3.6,6,A,E,18.6,12.7,15.9,18,254
RA,PROMATER CITY,SPECIAL PURPOSE VEHICLE,2.4,4,A,X,11.2,8.1,9.8,29,225
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,A,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,A,Z,19.2,12.4,16.1,18,370
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,A,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,A,Z,20.7,12.9,17.2,16,396
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,A,Z,20.9,12.7,17.2,16,396
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A,Z,20.7,12.9,17.2,16,396
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,A,Z,18.7,11.8,15.6,18,359
SCION,FR-S,MINICOMPACT,2,4,A,Z,9.6,7,8.4,34,193
SCION,FR-S,MINICOMPACT,2,4,M,Z,10.9,7.9,9.6,29,221
SCION,iQ,MINICOMPACT,1.3,4,A,X,6.5,6.3,6.4,44,147
SCION,tC,COMPACT,2.5,4,A,X,10.2,7.6,9,31,207
SCION,tC,COMPACT,2.5,4,M,X,10.2,7.7,9,31,207
SCION,xB,STATION WAGON - SMALL,2.4,4,A,X,10.9,8.5,9.8,29,225
SCION,xB,STATION WAGON - SMALL,2.4,4,M,X,10.8,8.5,9.8,29,225
SMART,FORTWO CABRIOLET,TWO-SEATER,1,3,A,Z,6.8,6.2,6.5,43,150
SMART,FORTWO COUPE,TWO-SEATER,1,3,A,Z,6.8,6.2,6.5,43,150
SUBARU,BRZ,MINICOMPACT,2,4,A,Z,9.6,7,8.4,34,193
SUBARU,BRZ,MINICOMPACT,2,4,M,Z,10.9,7.9,9.6,29,221
SUBARU,FORESTER AWD,SUV - SMALL,2,4,A,Z,10.2,8.5,9.4,30,216
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,A,X,9.6,7.5,8.7,32,200
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,M,X,10.6,8.4,9.6,29,221
SUBARU,IMPREZA AWD,COMPACT,2,4,A,X,8.5,6.4,7.6,37,175
SUBARU,IMPREZA AWD,COMPACT,2,4,M,X,9.5,7,8.4,34,193
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2,4,A,X,8.5,6.4,7.6,37,175
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2,4,M,X,9.5,7,8.4,34,193
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,A,X,9,6.5,7.9,36,182
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,M,X,10.7,7.8,9.4,30,216
SUBARU,LEGACY AWD,MID-SIZE,3.6,6,A,X,11.9,8.2,10.2,28,235
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,A,X,9.3,7.1,8.3,34,191
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,M,X,11,8.2,9.7,29,223
SUBARU,OUTBACK AWD,SUV - SMALL,3.6,6,A,X,12,8.6,10.5,27,242
SUBARU,WRX,COMPACT,2,4,A,Z,12.4,9.4,11.1,25,255
SUBARU,WRX,COMPACT,2,4,M,Z,11.1,8.3,9.8,29,225
SUBARU,WRX,COMPACT,2.5,4,M,Z,13.8,10.2,12.2,23,281
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2,4,A,X,9.1,7,8.1,35,186
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2,4,M,X,10.2,7.7,9.1,31,209
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,2,4,A,X,7.9,6.9,7.5,38,173
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4,6,A,X,14.2,11.1,12.8,22,294
TOYOTA,4RUNNER 4WD (PArt-TiMe 4WD),SUV - STANDARD,4,6,A,X,14.2,11.1,12.8,22,294
TOYOTA,AALON,MID-SIZE,3.5,6,A,X,11.3,7.5,9.6,29,221
TOYOTA,CARY,MID-SIZE,2.5,4,A,X,9.7,6.9,8.4,34,193
TOYOTA,CARY,MID-SIZE,3.5,6,A,X,11,7.7,9.5,30,218
TOYOTA,CARY HYBRID LE,MID-SIZE,2.5,4,A,X,5.5,6,5.7,50,131
TOYOTA,CARY HYBRID XLE/SE,MID-SIZE,2.5,4,A,X,5.7,6.1,5.9,48,136
TOYOTA,COROLLA,MID-SIZE,1.8,4,A,X,8.6,6.5,7.6,37,175
TOYOTA,COROLLA,MID-SIZE,1.8,4,A,X,7.9,6.1,7.1,40,163
TOYOTA,COROLLA,MID-SIZE,1.8,4,A,X,8.2,6.2,7.3,39,168
TOYOTA,COROLLA,MID-SIZE,1.8,4,M,X,8.3,6.2,7.4,38,170
TOYOTA,COROLLA LE ECO (1-Mode),MID-SIZE,1.8,4,A,X,7.7,5.6,6.8,42,156
TOYOTA,COROLLA LE ECO (2-Mode),MID-SIZE,1.8,4,A,X,7.7,6,6.9,41,159
TOYOTA,HIGHLANDER,SUV - SMALL,2.7,4,A,X,11.7,9.5,10.7,26,246
TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,A,X,12.5,9.3,11.1,25,255
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6,A,X,13,9.8,11.6,24,267
TOYOTA,HIGHLANDER HYBRID AWD,SUV - STANDARD,3.5,6,A,X,8.6,8.5,8.5,33,196
TOYOTA,HIGHLANDER HYBRID AWD LE,SUV - STANDARD,3.5,6,A,X,8.4,8.3,8.4,34,193
TOYOTA,PRIUS,MID-SIZE,1.8,4,A,X,4.6,4.9,4.7,60,108
TOYOTA,PRIUS c,COMPACT,1.5,4,A,X,4.5,5.1,4.8,59,110
TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,A,X,5.4,5.8,5.6,50,129
TOYOTA,RA4,SUV - SMALL,2.5,4,A,X,10,7.6,8.9,32,205
TOYOTA,RA4 AWD,SUV - SMALL,2.5,4,A,X,10.5,8.2,9.5,30,218
TOYOTA,RA4 LE/XLE,SUV - SMALL,2.5,4,A,X,10,7.6,8.9,32,205
TOYOTA,RA4 LIMITED AWD,SUV - SMALL,2.5,4,A,X,10.7,8.3,9.6,29,221
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,A,X,18.8,14,16.6,17,382
TOYOTA,SIENNA,MINIVAN,3.5,6,A,X,13,9.5,11.4,25,262
TOYOTA,SIENNA AWD,MINIVAN,3.5,6,A,X,14.4,10.2,12.5,23,288
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,A,X,12.2,9.9,11.2,25,258
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,M,X,11.3,9.5,10.5,27,242
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,4,6,M,X,14.5,11.3,13.1,22,301
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,A,X,13.1,11.3,12.3,23,283
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,M,X,12.9,11.5,12.3,23,283
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4,6,A,X,14.8,11.6,13.4,21,308
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4,6,M,X,15.3,12.3,14,20,322
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,A,X,15.9,12.3,14.3,20,329
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,A,X,17.2,12.8,15.2,19,350
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,A,X,16.9,12.8,15.1,19,347
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,A,X,18.5,14.2,16.6,17,382
TOYOTA,VENZA,SUV - SMALL,2.7,4,A,X,11.6,9,10.4,27,239
TOYOTA,VENZA,SUV - SMALL,3.5,6,A,X,12.5,9,10.9,26,251
TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4,A,X,11.6,9.2,10.5,27,242
TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6,A,X,12.8,9.3,11.3,25,260
TOYOTA,YARIS,COMPACT,1.5,4,A,X,7.8,6.6,7.3,39,168
TOYOTA,YARIS,COMPACT,1.5,4,M,X,7.7,6.3,7.1,40,163
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A,X,9.6,7.2,8.5,33,196
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,M,X,9.9,7.2,8.7,32,200
VOLKSWAGEN,BEETLE,COMPACT,2,4,A,Z,10,7.9,9.1,31,209
VOLKSWAGEN,BEETLE,COMPACT,2,4,M,Z,10.4,7.7,9.2,31,212
VOLKSWAGEN,BEETLE TDI (Modified),COMPACT,2,4,A,D,7.6,5.7,6.9,41,183
VOLKSWAGEN,BEETLE TDI (Modified),COMPACT,2,4,M,D,7.6,5.7,6.9,41,184
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,A,X,9.8,7.3,8.7,32,200
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2,4,A,Z,10.3,8.2,9.4,30,216
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2,4,M,Z,10.4,7.7,9.2,31,212
VOLKSWAGEN,CC,COMPACT,2,4,A,Z,10.7,7.7,9.3,30,214
VOLKSWAGEN,CC,COMPACT,2,4,M,Z,11.4,7.4,9.6,29,221
VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,A,Z,13.9,9.3,11.8,24,271
VOLKSWAGEN,EOS,SUBCOMPACT,2,4,A,Z,10.8,7.8,9.5,30,219
VOLKSWAGEN,GOLF,COMPACT,1.8,4,A,X,9.3,6.5,8.1,35,186
VOLKSWAGEN,GOLF,COMPACT,1.8,4,M,X,9.3,6.4,8,35,184
VOLKSWAGEN,GOLF TDI (Modified),COMPACT,2,4,A,D,7.6,5.5,6.5,43,177
VOLKSWAGEN,GOLF TDI (Modified),COMPACT,2,4,M,D,7.8,5.2,6.5,43,178
VOLKSWAGEN,GOLF GTI,COMPACT,2,4,A,Z,9.5,7.2,8.5,33,196
VOLKSWAGEN,GOLF GTI,COMPACT,2,4,M,Z,9.4,6.9,8.3,34,191
VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,A,X,9.4,6.8,8.2,34,193
VOLKSWAGEN,GOLF SPORTWAGON,STATION WAGON - SMALL,1.8,4,M,X,9.5,6.6,8.2,34,189
VOLKSWAGEN,GOLF SPORTWAGON TDI (Modified),STATION WAGON - SMALL,2,4,A,D,7.6,5.6,6.7,42,180
VOLKSWAGEN,GOLF SPORTWAGON TDI (Modified),STATION WAGON - SMALL,2,4,M,D,7.6,5.5,6.7,42,179
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A,X,9.3,6.3,7.9,36,182
VOLKSWAGEN,JETTA,COMPACT,1.8,4,M,X,9.3,6.3,8,35,184
